,text_name,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
124,2007.a4.txt,1405.46,1112.23,475.23,444.89,0,1,5
125,2008.a4.txt,1301.55,1211.34,786.08,502.58,0,0,3
126,2011.a4.txt,1782.36,919.32,778.61,375.23,0,0,2
127,2012.a4.txt,1623.86,1019.06,654.52,289.98,0,0,1
128,2014.a4.txt,1364.83,1067.37,673.67,402.45,0,0,1
129,2015.a4.txt,1573.88,1038.54,599.57,492.51,0,3,3
130,2017.a4.txt,1660.16,1064.45,625.0,429.69,0,0,0
131,2018.a4.txt,1753.85,1025.64,738.46,441.03,0,0,1
132,2019.a4.txt,1532.92,1275.72,483.54,411.52,0,0,1
133,2020.a4.txt,1377.55,1244.9,551.02,387.76,0,0,1
134,2021.a4.txt,1418.72,1270.94,472.91,413.79,0,0,1
135,2022.a4.txt,1468.71,1226.05,498.08,357.6,0,0,2
136,2024.a4.txt,1350.81,1229.84,554.44,493.95,0,0,1
137,2028.a4.txt,1725.96,1125.0,668.27,346.15,0,2,8
138,2030.a4.txt,1394.15,1265.06,481.93,421.69,0,0,4
139,2031.a4.txt,1589.4,983.92,652.79,473.04,0,0,2
140,2032.a4.txt,1592.99,1013.72,518.29,411.59,0,0,1
